code,description
i4917,"Reactor fuel cassette marked as fresh, sealed in lead-lined transport container"
i0173,"Heavy-duty hydraulic piston from an industrial press, still functional"
i3491,"Spearhead forged from steel, mounted on a wooden shaft"
i2567,"Reactor fuel cassette with micro-fractures in casing, handle with extreme caution"
i5319,"Scoped sniper rifle with bipod and loaded magazine"
i9502,"Camshaft from a V8 engine block, minimal surface wear"
i2286,"Hatchet with sharpened head and reinforced grip"
i1289,"Pneumatic valve assembly with brass fittings and rubber seals"
i4668,"Functional flamethrower with pressurized fuel canister and ignition system"
i1456,"Assortment of rubber O-rings and gaskets in various diameters"
